Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),ENERGY STAR Certification Years,Tax Parcel
Commonwealth Apartments,Multifamily Housing,1293 Commonwealth Avenue,Boston,Suffolk,MA,1234,,,136861,,1905,2014,69,87,,,,,,1075.6,45.23,,2101031000
River House Condo Trust,Multifamily Housing,3000 Davenport Avenue Suite 201,Boston,Suffolk,MA,2021,,,178000,,1900,2014,100,50.8,,,,,,515.2,31.95,,502442001
Tremont Residential (Grandview Condo),Multifamily Housing,"c/o The Niles Company, Inc.",Boston,Suffolk,MA,2021,,,156534,,1900,2014,75,58.4,,,,,,624.5,19.35,,304847010
44 School Street LLC,Office,44 School Street,Boston,Suffolk,MA,2026,,,58921,,1924,2014,100,23.8,,,,,,135.8,,,304704000
Worcester City Campus Corp  -Massbiologics - Admin,Laboratory,458 Walk Hill Street,Boston,Suffolk,MA,2026,,,95000,,2009,2014,,98.3,,,,,,903.5,18.34,,1405198175
101 Tremont,Office,101 Tremont Street,Boston,Suffolk,MA,2108,,,80344,,1901,2014,,28.3,,,,,,197.2,44.77,,304717000
10-24 School Street,Office,10-24 School Street,Boston,Suffolk,MA,2108,,,112739,,1925,2014,,104.1,,,,,,960.5,,,
18 Tremont,Office,18 Tremont St.,Boston,Suffolk,MA,2108,,,202033,,1915,2014,1,,,,,,,,,,302859000
20 City Hall Ave,Office,20 City Hall Ave,Boston,Suffolk,MA,2108,,,9680,,2000,2014,69,80,,,,,,56.9,,,
350 Washington Street,Retail Store,350 Washington Street,Boston,Suffolk,MA,2108,,,166700,,1965,2014,39,94.5,,,,,,1428.6,22.7,,304630010
399washington,Other,399 washington St,Boston,Suffolk,MA,2108,,,81647,,1918,2014,,7.6,,,,,,44.1,0.28,,304736000
40 Court Street,Office,40 Court Street,Boston,Suffolk,MA,2108,,,105505,,1914,2014,47,104.1,,,,,,902.1,16.62,,302855000
45 Province Condominium,Multifamily Housing,45 Province Street,Boston,Suffolk,MA,2108,,,195022,,2009,2014,1,91.3,,,,,,1722.4,28.7,,304705000
"55 Court, LLC",Office,55 Court Street,Boston,Suffolk,MA,2108,,,49412,,1968,2014,,112,,,,,,456.3,,,302892000
73 Tremont St,Office,73 Tremont St,Boston,Suffolk,MA,2108,,,374958,,1898,2014,80,65,,,,,,1891.7,,2014;2013;2012;2010;2009;2008;2007,304675000
Boston MA AME,Hotel,1 Court St.,Boston,Suffolk,MA,2108,,,93150,,1980,2014,68,93.3,,,,,,672.1,34.53,,302885000
Boston View Apartments,Multifamily Housing,130 Bowdoin Street,Boston,Suffolk,MA,2108,,,214543,,1967,2014,96,39.3,,,,,,561.6,20.4,,
"Brickpoint Properties, Inc.",Office,15 Court Square,Boston,Suffolk,MA,2108,,,81986,,1911,2014,91,65.4,,,,,,390.5,1.56,,302866000
Center Plaza,Office,1 Center Plaza,Boston,Suffolk,MA,2108,,,1001232,,1963,2014,80,85.5,,,,,,5244.3,10.82,,0302713000;0302715000;0302717000
Congregational House,Office,14 Beacon Street,Boston,Suffolk,MA,2108,,,71900,,1897,2014,54,99.3,,,,,,553.4,14.49,,304692050
Court Street,Office,26 Court Street,Boston,Suffolk,MA,2108,,,152532,,2000,2014,79,84.1,,,,,,949.8,1.07,,
New England Center for Homeless Veterans,Barracks,17 Court St.,Boston,Suffolk,MA,2108,,,130000,,1908,2014,58,49.8,,,,,,626.7,,,302886000
Nine Zero-SV,Hotel,90 Tremont Street,Boston,Suffolk,MA,2108,,,190440,,2001,2014,44,113.8,,,,,,1483.3,,,304697000
Old City Hall,Office,45 School Street,Boston,Suffolk,MA,2108,,,97230,,1862,2014,70,97.3,,,,,,765.3,25.09,,
One Beacon,Office,1 Beacon Street,Boston,Suffolk,MA,2108,,,1279675,,1973,2014,88,86.9,,,,,,8033.5,,2014;2013;2012;2011;2010;2009;2008;2007,302720000
One Boston Place,Office,One Boston Place,Boston,Suffolk,MA,2108,,,844203,,1970,2014,82,86.6,,,,,,6024.9,8.5,2014;2013;2012;2011;2010;2009;2007,302870000
One Washington Mall,Office,1 Washington Mall,Boston,Suffolk,MA,2108,,,156169,,1972,2014,82,76.5,,,,,,988.6,17.22,,302890000
Parkman House,Other,33 Beacon St,Boston,Suffolk,MA,2108,,,18000,,2000,2014,,66.6,,,,,,83.6,0.73,,
Pi Alley Garage,Parking,275 Washington St,Boston,Suffolk,MA,2108,,,248000,,1970,2014,,331.5,,,,,,687.3,49.47,,302875000
"Six Beacon Street, LLC",Office,6 Beacon Street,Boston,Suffolk,MA,2108,,,90000,,1900,2014,,,,,,,,0,13.77,,304695000
The Corner Mall,Office,413 Washington Street,Boston,Suffolk,MA,2108,,,246887,,1925,2014,69,73.9,,,,,,1574.5,31.58,,304738000
Twenty-One Beacon Condominium,Multifamily Housing,21 Beacon Street,Boston,Suffolk,MA,2108,,,94785,,1900,2014,1,198.2,,,,,,1201.4,77.82,,302807000
Washington Jewelers Building,Retail Store,373-387 Washington St.,Boston,Suffolk,MA,2108,,,118094,,1920,2014,,92.2,,,,,,946.9,,,304734000
10 PO Square,Office,10 Post Office Square,Boston,Suffolk,MA,2109,,,405797,,1920,2014,89,44.6,,,,,,1749,9.95,,0303879000;0303880000;0303878000;0303878010
148 State Street,Office,148 State Street,Boston,Suffolk,MA,2109,,,64233,,1899,2014,,,,,,,,0,,,303751000
15 Broad st,Office,15 Broad St,Boston,Suffolk,MA,2109,,,73000,,1910,2014,77,89.2,,,,,,448.4,11.31,,303836000
255 State Street Building,Office,255 State Street,Boston,Suffolk,MA,2109,,,202022,,1918,2014,79,62.8,,,,,,1227.5,,,
27 State Street,Office,25-27 State St,Boston,Suffolk,MA,2109,,,28821,,1974,2014,100,44.1,,,,,,67.4,,,
