Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2014, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,,
"Oct. 1, 2015",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel
Commonwealth Apartments,Yes,Multifamily Housing,1293 Commonwealth Avenue,01234," 136,861 ",87,69,,Multifamily Housing,1905,1075.6,7.9," 11,906,477 ",19%,4%,0%,45.23,,"According to Boston's tax assessor database, parcel id 2101031000 has a gross area of 10,470 square feet. This building also has less than 50 units. It seems that this development was erroneously required to report and that the requirement to report was based on a roll-up of unit counts across different apartment complexes owned by the same owner. Therefore, the data reported is based on the energy and water data of 10 buildings in the Commonwealth Apartments development. ",,2101031000
River House Condo Trust,Yes,Multifamily Housing,3000 Davenport Avenue Suite 201,02021," 178,000 ",50.8,100,,Multifamily Housing,1900,515.2,2.9," 9,042,578 ",9%,91%,0%,31.95,,,,0502442001
Tremont Residential (Grandview Condo),Yes,Multifamily Housing,"c/o The Niles Company, Inc.",02021," 156,534 ",58.4,75,,Multifamily Housing,1900,624.5,4," 9,140,525 ",35%,65%,0%,19.35,,,,0304847010
44 School Street LLC,Yes,Office,44 School Street,02026," 58,921 ",23.8,100,,Office,1924,135.8,2.3," 1,403,925 ",100%,0%,0%,,,,,0304704000
Worcester City Campus Corp  -Massbiologics - Admin,Yes,Laboratory,458 Walk Hill Street,02026," 95,000 ",98.3,Not applicable to this property type,,"Laboratory, Parking",2009,903.5,9.5," 9,339,181 ",100%,0%,0%,18.34,,,,1405198175
101 Tremont,Yes,Office,101 Tremont Street,02108," 80,344 ",28.3,Not Available,,Office,1901,197.2,2.5," 2,274,172 ",77%,23%,0%,44.77,,,,0304717000
10-24 School Street,Yes,Office,10-24 School Street,02108," 112,739 ",104.1,Not applicable to this property type,,"Office, Retail Store",1925,960.5,8.5," 11,732,388 ",51%,0%,49%,,,,,Not Available
18 Tremont,Yes,Office,18 Tremont St.,02108," 202,033 ",27567.3,1,,Office,1915,369973.4,1831.3," 5,569,512,935 ",0%,0%,100%,1552.27,,,,0302859000
20 City Hall Ave,Municipal,Office,20 City Hall Ave,02108," 9,680 ",80,69,,Office,2000,56.9, 5.9 ," 774,384 ",24%,0%,76%,,,,,
350 Washington Street,Yes,Retail Store,350 Washington Street,02108," 166,700 ",94.5,39,,"Fitness Center/Gym, Retail Store",1965,1428.6,8.6," 15,753,128 ",80%,0%,20%,22.70,,,,0304630010
399washington,Yes,Other,399 washington St,02108," 81,647 ",7.6,Not applicable to this property type,,"Other, Retail Store",1918,44.1,0.5," 622,217 ",41%,59%,0%,0.28,,,,03-04736-000
40 Court Street,Yes,Office,40 Court Street,02108," 105,505 ",104.1,47,,Office,1914,902.1,8.5," 10,979,241 ",53%,2%,46%,16.62,,,,0302855000
45 Province Condominium,Yes,Multifamily Housing,45 Province Street,02108," 195,022 ",91.3,1,,Multifamily Housing,2009,1722.4,8.8," 17,803,462 ",100%,0%,0%,28.70,,,,0304705000
"55 Court, LLC",Yes,Office,55 Court Street,02108," 49,412 ",112,Not Available,,"Office, Retail Store",1968,456.3,9.2," 5,533,185 ",37%,0%,0%,702.91,,The retail store is VACANT.,,0302892000
73 Tremont St,Yes,Office,73 Tremont St,02108," 374,958 ",65,80,"2014, 2013, 2012, 2010, 2009, 2008, 2007","Office, Parking, Restaurant",1898,1891.7,6.2," 19,743,998 ",98%,2%,0%,,,,,0304675000
Boston MA AME,Yes,Hotel,1 Court St.,02108," 93,150 ",93.3,68,,Hotel,1980,672.1,7.2," 8,690,371 ",56%,0%,0%,34.53,,,,0302885000
Boston View Apartments,Yes,Multifamily Housing,130 Bowdoin Street,02108," 214,543 ",39.3,96,,"Multifamily Housing, Parking",1967,561.6,2.7," 8,210,786 ",35%,65%,0%,20.40,,,,Not Available
"Brickpoint Properties, Inc.",Yes,Office,15 Court Square,02108," 81,986 ",65.4,91,,Office,1911,390.5,4.8," 5,364,722 ",45%,55%,0%,1.56,,,,0302866000
Center Plaza,Yes,Office,1 Center Plaza,02108," 1,001,232 ",85.5,80,,"Bank Branch, Office, Parking, Retail Store",1963,5244.3,7.1," 63,390,248 ",68%,32%,0%,10.82,,"This property is identified as 3 buildings for tax purposes.  However, it is actually one physical building and is benchmarked as such.  
The building has one 600 Sq Ft ""IT room"" but is not currently configured to benchmark this as data center space per ENERGY STAR requirements. (JL - 6/3/2014)

10/14/2014 - Retail space benchmarked (JL)",,0302713000 0302715000 0302717000
Congregational House,Yes,Office,14 Beacon Street,02108," 71,900 ",99.3,54,,"Library, Office",1897,553.4,7.7," 7,139,880 ",56%,44%,0%,14.49,,"Building houses the Congregational Library and has a climate control system.
Rest of building is made up of office spaces rented to both profit and non-profit tenants.",,0304692050
Court Street,Municipal,Office,26 Court Street,02108," 152,532 ",84.1,79,,Office,2000,949.8, 6.2 ," 12,829,654 ",48%,52%,0%,1.07,,,,
