Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2)
,Other - Entertainment/Public Assembly,1 Twins Way,Minneapolis,Hennepin,MN,55403,,,1127632,,2010,2014,,82.9,205.1,81.9,203.9,,,14714,
,Office,100 6th St North,Minneapolis,Hennepin,MN,55403,,,457678,,1906,2014,94,53.7,130.5,50.8,127,,,3777.9,
,Office,100 Washington Ave S,Minneapolis,Hennepin,MN,55401,,,770894,,1980,2014,96,54.4,115.9,50.4,111.2,,,4578.1,
,Office,100/150 South Fifth Street,Minneapolis,Hennepin,MN,55402,,,1420153,,1984,2014,92,57.9,147.7,54.6,144.2,,,11002.6,
,College/University,1000 LaSalle Avenue,Minneapolis,Hennepin,MN,55403,,,165516,,1992,2014,,130,256.5,126.3,252.4,,,2616,
,Hotel,1001 Marquette Ave.,Minneapolis,Hennepin,MN,55403,,,687758,,1992,2014,41,145.7,266.6,141.4,262.2,,,11013.9,
,Office,105 5th Ave S,Minneapolis,Hennepin,MN,55401,,,115584,,1890,2014,,116.1,236.4,111.7,231.7,,,1299.4,
,Office,109 South 7th Street,Minneapolis,Hennepin,MN,55402,,,195308,,1927,2014,89,90.7,148.1,87.4,144.1,,,1728.4,
,Parking,11 4th Street South,Minneapolis,Hennepin,MN,55401,,,200500,,1966,2014,,72.4,227.4,70.2,220.3,,,305,
,Office,110 5th Street North,Minneapolis,Hennepin,MN,55403,,,205435,,1916,2014,50,144.1,272.5,142.8,271.1,,,3418.8,
,College/University,1101 Harmon Place,Minneapolis,Hennepin,MN,55403,,,158000,,2003,2014,,105.5,233.7,103.1,231.1,,,2317.2,
,Hotel,1101 LaSalle Ave,Minneapolis,Hennepin,MN,55403,,,220390,,1987,2014,97,66.5,121.2,61.4,114.3,,,1458.3,
,Office,111 Third Avenue South,Minneapolis,Hennepin,MN,55401,,,109190,,1890,2014,90,56,147.8,53.4,145,,,946,
,Office,111 Washington Ave S,Minneapolis,Hennepin,MN,55401,,,432830,,1987,2014,,152.1,462.1,150.7,460.5,,,13040.1,
,Office,120 S 6th st.,Minneapolis,Hennepin,MN,55402,,,588537,,1960,2014,,126.3,241.8,121.5,236,,,7816,
