Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Record Number,BBL,Co-reported BBL Status,BBLs Co-reported,BINs,Borough,Number of Buildings
,Multifamily Housing,,New York,Queens,NY,,,,,91968,,2013,,180.5,233.7,178.7,231.8,806.6,160.1,966.7,,16099,4084010096,,4084010096,4453435,Queens,
,Distribution Center,150 VARICK STREET,New York,New York,NY,10013,,,214110,235370,,2013,44,82.1,201.3,81.9,201.2,337.9,1054.4,1392.3,8.71,500,1005050001,,1005050001,1007817,Manhattan,1
,Multifamily Housing,4079 BROADWAY,New York,New York,NY,10032,,,64816,64806,,2013,,137.7,192.5,137.5,192.1,541.8,131.8,673.6,,5017,1021420100,,1021420100,1063495,Manhattan,1
,Multifamily Housing,60 SHERMAN AVENUE,New York,New York,NY,10040,,,62847,62839,,2013,,103.2,138.6,103,138.2,403,82,485,,5116,1021750080,,1021750080,1064235,Manhattan,1
,Multifamily Housing,16 BIALYSTOKER PLACE,New York,New York,NY,10002,,,98052,98000,,2013,,74,115.8,74,115.8,290,145.5,435.5,,363,1003360005,,1003360005,1088884,Manhattan,1
,Office,1525 JARRETT PLACE,New York,Bronx,NY,10461,,,53285,53275,,2013,98,36.4,80.9,36.3,80.8,45.3,88.4,133.7,,6876,2040830013,,2040830013,2044217,Bronx,1
,Multifamily Housing,99-21 67 ROAD,New York,Queens,NY,11375,,,61856,61846,,2013,,114.8,166,114.5,165.8,305.3,109.6,414.9,,10714,4031680056,,4031680056,4075089,Queens,1
,Office,119 WEST 31 STREET,New York,New York,NY,10001,,,221227,204417,,2013,57,130,258.7,128.4,257.3,977.8,987.6,1965.4,22.89,1214,1008070028,,1008070028,1015181,Manhattan,1
,Multifamily Housing,80 MADISON AVENUE,New York,New York,NY,10016,,,60110,60110,,2013,,138.3,233.7,138.3,233.9,384.1,213.2,597.3,,1544,1008580014,,1008580014,1016899,Manhattan,1
,Multifamily Housing,630 1 AVENUE,New York,New York,NY,10016,,,550141,457946,,2013,,,,,,82.7,,,,1905,1009687501,,1009687501,1022060,Manhattan,1
,Multifamily Housing,145 WEST 67 STREET,New York,New York,NY,10023,,,568001,511001,,2013,,88.2,150.6,87.5,149.3,1657.9,1154.9,2812.8,,2301,1011390001,,1011390001,1028849,Manhattan,1
,Hotel,,New York,New York,NY,,,,,56442,,2013,100,15.7,23.5,15.7,23.5,37.2,15.2,52.4,,15059,1012090148,,,1031751,Manhattan,
,Multifamily Housing,60 UNIVERSITY PLACE,New York,New York,NY,10003,,,56252,60939,,2013,,,,,,,104.7,,,674,1005680024,,1005680024,1032045,Manhattan,1
,Multifamily Housing,155 WEST 81 STREET,New York,New York,NY,10024,,,67230,78435,,2013,,85.7,115.3,,,422,85.8,507.8,47.4,2537,1012120110,,1012120110,1032045,Manhattan,1
,Multifamily Housing,57 WEST 58 STREET,New York,New York,NY,10019,,,96137,80293,,2013,,195.7,315.8,,,790.1,358,1148.1,,2841,1012747502,,1012747502,1035250,Manhattan,1
,Office,32 EAST 57 STREET,New York,New York,NY,10022,,,77511,104990,,2013,74,79.1,175,79.1,175.2,271.8,381.8,653.6,8.77,2945,1012920048,,1012920048,1035788,Manhattan,1
,Office,,New York,New York,NY,,,,,528180,,2013,26,144.1,309.3,142.4,307.2,0,6472.5,6472.5,,15120,1013040033,,1013040033,1036446,Manhattan,
,Hotel,214 EAST 42 STREET,New York,New York,NY,10017,,,502158,440895,,2013,13,200.9,311.9,200.9,312,3569.4,1733.2,5302.6,62.18,3053,1013150044,,1013150044,1037547,Manhattan,1
,Multifamily Housing,136 EAST 117 STREET,New York,New York,NY,10035,,,55725,69656,,2013,,104.6,142.4,102.4,139.7,458.3,97.8,556.1,,4233,1016440059,,1016440059,1052315,Manhattan,1
,Multifamily Housing,2340 ADAM C POWELL BLVD,New York,New York,NY,10030,,,57834,62300,,2013,,86.7,87.6,86.7,87.6,406.6,0,406.6,,4777,1020230028,,1020230028,1060220,Manhattan,1
,Multifamily Housing,2308 AMSTERDAM AVENUE,New York,New York,NY,10033,,,64848,64838,,2013,,102.1,139.7,101.9,139.3,404.4,89.9,494.3,,4912,1021310044,,1021310044,1063170,Manhattan,1
,Multifamily Housing,179 BENNETT AVENUE,New York,New York,NY,10040,,,80927,80917,,2013,,21.2,57.7,21.1,57.3,18.3,111.7,130,,5210,1021800486,,1021800486,1064460,Manhattan,1
,Multifamily Housing,37 PAYSON AVENUE,New York,New York,NY,10034,,,56700,62205,,2013,,78.3,106.3,77.6,105.6,302.3,64.7,367,,5295,1022470001,,1022470001,1065057,Manhattan,1
,Office,462 PARK AVENUE SOUTH,New York,New York,NY,10016,,,227053,292061,,2013,,,,,,,,,15.12,1575,1008610044,,1008610044,1080788;1080789,Manhattan,2
,Multifamily Housing,,New York,New York,NY,,,,,66000,,2013,,55.2,106.1,55.3,106.2,112.8,123.7,236.5,,15025,1010560001,,1010560001,1081659;1081660;1081664;1081665;1081666;1081667;1081668;1081669;1081670;1081674;1081675,Manhattan,
,Multifamily Housing,1710 3 AVENUE,New York,New York,NY,10029,,,509090,509100,,2013,,83.2,149.6,83.2,149.6,1443.1,1233,2676.1,,4208,1016240033,,1016240033,1082901,Manhattan,1
,Multifamily Housing,2611 FREDRICK DOUGLASS BL,New York,New York,NY,10030,,,68836,56170,,2013,,145.1,212.4,144.4,211.7,346.9,131.3,478.2,,4799,1020427502,,1020427502,1085451;1085452;1085453;1085454;1085455;1085456;1085457;1085457,Manhattan,1
,Multifamily Housing,43 EAST 30 STREET,New York,New York,NY,10016,,,59993,76430,,2013,,59.4,111.6,59,111,145.2,146.6,291.8,,1568,1008607501,,1008607501,1087118,Manhattan,1
,Multifamily Housing,309 EAST 164 STREET,New York,Bronx,NY,10456,,,71070,76992,,2013,,88.7,132,88.1,130.8,286.2,116.6,402.8,108.9,5427,2024320047,,2024320047,2002195,Bronx,1
,Multifamily Housing,1181 SHERIDAN AVENUE,New York,Bronx,NY,10456,,,72276,72000,,2013,,100.8,134.9,100.4,134.5,447.8,89.9,537.7,,5476,2024560175,,2024560175,2002751,Bronx,1
,Multifamily Housing,1183 GERARD AVENUE,New York,Bronx,NY,10452,,,60269,60259,,2013,,103.1,128.4,,,407,55.2,462.2,,5564,2024880031,,2024880031,2003001,Bronx,1
,Multifamily Housing,,New York,Bronx,NY,,,,,72000,,2013,,95.5,129.6,,,423.5,90.6,514.1,,15424,2025120069,,2025120069,2003232,Bronx,
,Multifamily Housing,526 TINTON AVENUE,New York,Bronx,NY,10455,,,75924,75914,,2013,,66.8,80.7,66.8,80.7,347,38.2,385.2,,5658,2025820034,,2025820034,2003971,Bronx,1
,Multifamily Housing,1930 GRAND CONCOURSE,New York,Bronx,NY,10457,,,56000,56000,,2013,,162.6,220,,,418.2,107.8,526,27.99,5816,2028100001,,2028100001,2007721,Bronx,1
,Multifamily Housing,2010 GRAND AVENUE,New York,Bronx,NY,10453,,,50400,61871,,2013,,110.7,158.9,110.2,158.3,241.3,83.9,325.2,,5947,2028700016,,2028700016,2008629,Bronx,1
,Hospital (General Medical & Surgical),1788 HOE AVENUE,New York,Bronx,NY,10460,,,58962,68952,,2013,1,718.6,932.9,718.6,932.9,2340.8,480.6,2821.4,,6080,2029910034,,2029910034,2010685,Bronx,1
,Multifamily Housing,2015 DR M L KING JR BLVD,New York,Bronx,NY,10453,,,78000,77990,,2013,,65,94,65,93.9,292.5,83.6,376.1,,6275,2032160048,,2032160048,2014696,Bronx,1
,Multifamily Housing,2840 BAILEY AVENUE,New York,Bronx,NY,10463,,,86412,86402,,2013,,113.4,148,113.4,148,622.2,109.5,731.7,,6398,2032590022,,2032590022,2015867,Bronx,1
,Multifamily Housing,3150 ROCHAMBEAU AVENUE,New York,Bronx,NY,10467,,,174705,174705,,2013,,,,,,,156,,,6597,2033350060,,2033350060,2017998,Bronx,1
,Hospital (General Medical & Surgical),3525 BAYCHESTER AVENUE,New York,Bronx,NY,10466,,,80844,80844,,2013,100,171.4,300.7,,,659.2,393.2,1052.4,117.05,7084,2048940011,,2048940011,2065676,Bronx,1
,Multifamily Housing,3611 HENRY HUDSON PKWY W,New York,Bronx,NY,10463,,,134000,133990,,2013,,84.9,125,84.9,125.1,661.1,200.5,861.6,,7283,2059030283,,2059030283,2085775,Bronx,1
