Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Portfolio Manager ID,Philadelphia Building ID
Allegheny Business Center,Adult Education,2233 West Allegheny Avenue,Philadelphia,Philadelphia,PA,19132,40.003418,-75.167077,87756,,1915,2014,,28.6,62.9,,,,,244.6,0.117370892,3965468,884558100
1622 Chestnut Street,Adult Education,1622 Chestnut Street,Philadelphia,Philadelphia,PA,19103,,,79480,,1931,2014,,147.3,462.5,,,,,1567.1,12.22571716,3999203,772509500
Center One,Ambulatory Surgical Center,9880 Bustleton Ave,Philadelphia,Philadelphia,PA,19115,40.095704,-75.030587,79485,,1980,2014,,92.5,290.4,,,,,984,18.53557275,3875830,778025205
Pacifico Ford,Automobile Dealership,6701 Essingtion ave,Philadelphia,Philadelphia,PA,19153,,,55000,,1970,2014,,47.3,148.5,,,,,348.3,3.576363636,3633488,882167505
Gershman Hall,College/University,401-11 South Broad Street,Philadelphia,Philadelphia,PA,19147,,,75000,,1923,2014,,86.3,161.8,,,,,550,10.59333333,2851911,771637200
Anderson Hall,College/University,329-35 South Broad Street,Philadelphia,Philadelphia,PA,19102,,,138123,,1916,2014,,60.9,141,,,,,858.1,5.61311295,2858208,771500000
Merriam Theater,College/University,250 South Broad Street,Philadelphia,Philadelphia,PA,19102,,,77964,,1918,2014,,87.9,196.6,,,,,678.1,44.6911395,2858581,772505500
Arts Bank,College/University,601 South Broad Street,Philadelphia,Philadelphia,PA,19147,,,25006,,1994,2014,,54.8,166.6,,,,,178.2,,2887841,771501000
Terra Hall,College/University,201-11 South Broad Street,Philadelphia,Philadelphia,PA,19107,,,273901,,1911,2014,,73.8,173,,,,,2143.2,20.6757186,2917145,772505410
Philadelphia University,College/University,4201 Henry Ave,Philadelphia,Philadelphia,PA,19144,,,635839,,1960,2014,,92.3,200.2,,,,,5843.7,41.7203097,3619585,775501010
Peirce College,College/University,1420 Pine St.,Philadelphia,Philadelphia,PA,19102,,,94151,,1898,2014,,84.3,204.5,,,,,843.5,8.4619388,3634201,772513020
Samuel MV Hamilton Building,College/University,128 N. Broad Street,Philadelphia,Philadelphia,PA,19102,,,240000,,1905,2014,,115.3,241.1,,,,,2583,14.86916667,3635047,772724100
Holy Family Hall,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,440350,,1954,2014,,42.1,95.2,,,,,1852.9,,3636946,778503000
Campus Center,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,89596,,1988,2014,,76.1,130.8,,,,,538.4,11.30407607,3637394,778503000
Education Technology Center,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,62000,,2005,2014,,144.6,317.7,,,,,873.4,,3637411,778503000
Stevenson Lane Residence,College/University,9801 Frankford Avenue,Philadelphia,Philadelphia,PA,19114,,,67430,,2009,2014,,40.5,92.5,,,,,275.2,30.29215483,3637470,778503000
Philadelphia College of Osteopathic Medicine,College/University,4190 City Ave,Philadelphia,Philadelphia,PA,19131,40.005111,-75.218072,409268,,1972,2014,,231.8,378.2,,,,,7170.7,34.1504833,3675619,774010040
CCP Main Campus-East,College/University,1600 Spring Garden St,Philadelphia,Philadelphia,PA,19130,,,503960,,1982,2014,,99.4,272.5,,,,,5436.2,23.2310104,3681793,772534600
CCP Main Campus-West,College/University,1700 Spring Garden St,Philadelphia,Philadelphia,PA,19130,,,556554,,1982,2014,,15.8,28.3,,,,,719.4,1.946441855,3681794,772534700
Center for Business & Industry,College/University,1751 Callowhill St,Philadelphia,Philadelphia,PA,19130,39.960353,-75.168004,177480,,2003,2014,,32,89.1,,,,,682.3,4.308654496,3681795,772535700
Northwest Regional Center,College/University,1300 W Godfrey Ave,Philadelphia,Philadelphia,PA,19141,40.04721,-75.140685,81018,,1965,2014,,73.5,177.6,,,,,671.4,38.09030092,3681796,776554000
Northeast Regional Center,College/University,12901 Townsend Road,Philadelphia,Philadelphia,PA,19154,40.106816,-74.978201,109110,,1995,2014,,67.4,162.5,,,,,777.3,5.806067272,3681797,772537500
Science and Technology Center (STC),College/University,4320 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,78000,,2007,2014,,81.2,254.9,,,,,847.7,27.91153846,3696770,773502090
Athletic Recreation Center (ARC),College/University,4310 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,78800,,2003,2014,,94.7,294.3,,,,,989.7,57.39213198,3696855,773502090
4140 Woodland,College/University,4140 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,70000,,1920,2014,,33.8,103,,,,,308.2,4.082857143,3696900,773499500
Griffith Hall,College/University,4247 Woodland Ave,Philadelphia,Philadelphia,PA,19104,,,113332,,1928,2014,,87.2,261.3,,,,,1268.3,16.42872269,3696901,773500500
Lutheran Theological Seminary of Philadelphia,College/University,7301 Germantown Ave.,Philadelphia,Philadelphia,PA,19119,40.061506,-75.192045,259257,,1889,2014,,44,88.1,,,,,1025.2,5.859822493,3751369,775515000
"7,7A-Bossone / Commonwealth",College/University,3118-38 Market Street,Philadelphia,Philadelphia,PA,19104,,,176360,,2004,2014,,193.5,373.8,,,,,3024.1,35.26876843,3762530,774526000
