Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Parcel
2801 Leavenworth Street,,2801 LEAVENWORTH ST,San Francisco,San Francisco,CA,94109,,,133675,,,2014,56,73.4,158.5,77.1,162.4,,,668.9,,0010/001
Argonaut Hotel-SV,,495 Jefferson St,San Francisco,San Francisco,CA,94109,37.807624,-122.420563,180450,,,2014,79,63.6,129.5,63.6,129.5,,,763.1,,0010/002
Anchorage Office,,2800 LEAVENWORTH ST,San Francisco,San Francisco,CA,94133,37.807299,-122.418972,121408,,,2014,,73.8,173.3,73.8,173.3,,,634.3,,0011/007
Anchorage Garage,,500 BEACH ST,San Francisco,San Francisco,CA,94133,37.807022,-122.417713,198525,,,2014,,27.5,76.9,27.5,76.9,,,419.6,,0011/008
211 Jefferson St,,2739 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.807895,-122.415742,40052,,,2014,,,,,,,,,,0012/001
DiMaggio Building,,243 JEFFERSON ST,San Francisco,San Francisco,CA,94133,37.808125,-122.4165,17311,,,2014,,285.3,579.9,282.5,571.3,,,328.3,,0012/007A
Savoy Corporation,,2720 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.807512,-122.415665,46962,,,2014,38,64.1,177,65.8,178.8,,,229.9,,0013/005
2770 TAYLOR ST,,2770 TAYLOR ST,San Francisco,San Francisco,CA,94133,37.807889,-122.415741,40017,,,2014,,,,,,,,,,0013/006
2601 MASON ST,,2601 MASON ST,San Francisco,San Francisco,CA,94133,37.807749,-122.414034,15882,,,2014,,,,,,,,,,0013/009
The Way Museum Building,,145 Jefferson St.,San Francisco,San Francisco,CA,94133,37.808359,-122.414638,121481,,,2014,,119,305.5,116.2,296.9,,,1066.1,,0013/016
Radisson Fisherman's Wharf,,250 Beach Street,San Francisco,San Francisco,CA,94133,37.807578,-122.413296,254184,,,2014,,,,,,,,,,0014/001
Publicis,,2001 The Embarcadero,San Francisco,San Francisco,CA,94133,37.807431,-122.40743,118196,,,2014,66,83.2,189.1,81.5,183.8,,,685.8,,0017/002
One Beach Street,,1 BEACH ST,San Francisco,San Francisco,CA,94133,37.807995,-122.409984,97614,,,2014,92,50.4,116,50.4,116,,,345.1,,0018/001
"2300 Stockton Street, LLC",,2340 STOCKTON ST,San Francisco,San Francisco,CA,94133,37.807398,-122.410602,59530,,,2014,,33.4,56.8,37.5,61.1,,,92.1,,0018/004
100 NORTH POINT ST,,100 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.8071,-122.409465,60000,,,2014,71,92.3,205.2,94.4,204.7,,,382.4,,0018/005
211 BEACH ST,,211 BEACH ST,San Francisco,San Francisco,CA,94133,37.807595,-122.413157,229394,,,2014,,,,,,,,,,0020/001
400 NORTH POINT ST,,400 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.806452,-122.414645,31656,,,2014,,,,,,,,,,0021/001
15571-HI SF Fisherman's Wharf Annex,,475 BEACH ST,San Francisco,San Francisco,CA,94133,37.807125,-122.416904,126250,,,2014,70,64.8,147.3,64.8,147.3,,,570.5,,0022/010
580 NORTH POINT ST,,580 NORTH POINT ST,San Francisco,San Francisco,CA,94133,37.806186,-122.416746,24022,,,2014,,,,,,,,,,0022/012
Holiday Inn Express ? Fisherman?s Wharf,,455 BEACH ST,San Francisco,San Francisco,CA,94133,37.807191,-122.416395,164650,,,2014,39,59.7,136.7,60,134.4,,,556.2,,0022/015
Euro Properties,,505 BEACH ST,San Francisco,San Francisco,CA,94133,37.807034,-122.417619,21630,,,2014,,104.9,203.4,112.7,211.6,,,148,,0023/002
555 BEACH ST,,555 BEACH ST,San Francisco,San Francisco,CA,94133,37.806977,-122.418069,15706,,,2014,,,,,,,,,,0023/003
15571-HI SF Fisherman's Wharf,,1300 COLUMBUS AVE,San Francisco,San Francisco,CA,94133,37.806009,-122.418431,154400,,,2014,74,82.6,175.5,84.5,181.5,,,863.9,,0023/005
