Property Name,Property Type,Address,City,County,State,ZIP Code,Latitude,Longitude,Floor Area (ft^2),Reported Floor Area (ft^2),Year Built,Benchmarking Year,ENERGY STAR Score,Site EUI (kBtu/ft^2),Source EUI (kBtu/ft^2),Weather Normalized Site EUI (kBtu/ft^2),Weather Normalized Source EUI (kBtu/ft^2),Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions (MtCO2e),Water Use Intensity (gal/ft^2),Address of Record,DC Real Property ID,Owner of Record,PM Parent Property ID,PM Property ID,Parent Property Name,Ward,X-Coordinate (ESRI),Y-Coordinate (ESRI)
Watergate Retail DDOE,Strip Mall,2551 Virginia Avenue NW,Washington,District of Columbia,DC,20037,,,449825,64757,1964,2013,,,,,,,,,,2500 VIRGINIA AV NW,80806,WATERGATE EAST INC,,3987680,,2,395219.0672,136802.4981
Squire Patton Boggs,,2550 M Street,Washington,District of Columbia,DC,20037,,,209866,,1977,2013,,,,,,,,0,,2550 M ST NW,140068,CARR CRHP DC/VA PROPERTIES LLC,,4429402,,2,395297.6598,137461.386
WestEnd25,Multifamily Housing,1255 25th Street,Washington,District of Columbia,DC,20006,,,298475,271827,2010,2013,,,,,,,,,31.75034121,1229-1231 25TH ST,240885,RH 1229-1231 25TH STREET LLC,,2703000,,2,395423.1872,137628.4846
Potomac Plaza,Multifamily Housing,"2475 Virginia Avenue, N.W.",Washington,District of Columbia,DC,20037,,,316550,316550,1957,2013,,42.9,48.1,,,,,754.6,,2475 VIRGINIA AV NW,310837,POTOMAC PLAZA APARTMENTS INC,,3336808,,2,395442.2429,136801.1827
Columbia Plaza All Bldgs,Multifamily Housing,2400 Virginia Ave NW,Washington,District of Columbia,DC,20037,,,1544107,988819,1968,2013,,83.1,152.6,83.8,153.3,,,6636.1,53.0893925,2400 VIRGINIA AV NW,330087,COLUMBIA PLAZA LP,,3500007,,2,395540.1363,136565.5146
Park Hyatt Washington,Hotel,1201 24th Street NW,Washington,District of Columbia,DC,20037,,,361400,361400,1986,2013,,93.2,239.5,,,,,3589.2,43.80326508,1201 24TH ST,360859,HYATT EQUITIES LLC,,3633411,,2,395572.8014,137560.4988
The Fairfax at Embassy Row,Hotel,2100 Massachusettes Ave NW,Washington,District of Columbia,DC,20008,,,217504,217000,1928,2013,,,,,,,,,,2100 MASSACHUSETTS AV,670059,NOIRO SOUTH LLC,,4006385,,2,395907.6381,138061.7155
1200 New Hampshire,Office,1200 New Hampshire Avenue,Washington,District of Columbia,DC,20036,,,284658,386378,1979,2013,,62.6,196.6,62.6,196.6,,,3063.1,25.78433555,1200 NEW HAMPSHIRE AV NW,700195,N H STREET PARTNERS HOLDINGS LLC,,1600732,,2,395864.4928,137540.3178
Winston House,,2140 L Street NW,Washington,District of Columbia,DC,20037,,,212571,,1991,2013,,,,,,,,498.7,,2140 L ST NW,730085,WINSTON HOUSE ASSOCIATES LLC,,4018717,,2,395825.6736,137285.244
"2021 K Street, NW",Office,"2021 K St, NW",Washington,District of Columbia,DC,20006,,,258300,148579,1972,2013,,84.8,266.3,,,,,1595.5,,2021 K ST NW,760083,2021 K L.L.C,,1496039,,2,396028.8082,137230.6929
1020 19th Street,Office,"1020 19th Street, NW",Washington,District of Columbia,DC,20036,,,158688,116107,1983,2013,,,,,,,,,,1020 19TH ST NW,850061,"ZG 1020 19TH STREET, LLC",,3473953,,2,396198.6186,137255.5319
NAS Bldg,Office,2101 Constitution Ave NW,Washington,District of Columbia,DC,22048,,,109303,173970,1924,2013,,,,,,,,,12.88210611,2101 CONSTITUTION AV NW,880058,NATIONAL ACADEMY OF SCIENCES,,3641737,,2,395856.7371,136123.7265
1825 K Street,Office,1825 K Street NW,Washington,District of Columbia,DC,20006,,,308836,254527,1966,2013,,,,,,,,,14.84164745,1825 K ST NW,1070062,CALVIN CAFRITZ ENTERPRISES,,2308771,,2,396305.7769,137231.7546
0117-0080 (1901 L St),Office,"1901 L Street,NW",Washington,District of Columbia,DC,20036,,,128672,141539,1982,2013,,,,,,,,,14.33809763,1901 L ST NW,1170080,1901 L STREET LLC,,3867812,,2,396190.5643,137354.6409
The Vanguard Building,Office,1111 20th st NW,Washington,District of Columbia,DC,20036,,,229401,165232,1963,2013,,,,,,,,,19.22206352,1111 20TH ST NW,1170084,VANGUARD ASSOCIATES,,2726905,,2,396143.0672,137362.2609
Farragut Center,Office,"1725 Eye Street, NW",Washington,District of Columbia,DC,20006,,,374766,264000,2001,2013,,,,,,,,,,1727 I ST NW,1260061,FARRAGUT CENTER LLC,,3016235,,2,396487.9228,137090.4689
1250 Conn Ave,Office,1250 Connecticut Ave NW,Washington,District of Columbia,DC,20036,,,232204,195087,1964,2013,,65.1,155.9,,,,,1274.9,13.09569577,1250 CONNECTICUT AV NW,1390816,TRIZECHAHN LLC - 1250C/2401P,,1071476,,2,396329.1563,137668.4012
Imperial House Condominium,Multifamily Housing,"1601 18th Street, NW",Washington,District of Columbia,DC,20009,,,84799,100250,1962,2013,,,,,,,,,,1601 18TH ST NW,1552131,IMPERIAL HOUSE CONDO,,3698501,,2,,
Dupont East Condo,Multifamily Housing,"1545 18th Street, NW",Washington,District of Columbia,DC,20036,,,123462,171760,1961,2013,,,,,,,,,,1545 18TH ST NW,1562138,DUPONT EAST CONDO,,3501692,,2,,
Eleven Hundred Connecticut Avenue,Office,"1100 Connecticut Avenue, NW",Washington,District of Columbia,DC,20036,,,232614,182213,1965,2013,,,,,,,,,29.11812,1100 - 1106 CONNECTICUT AV NW,1610030,ELEVEN HUNDRED CONN AVE ASSOCIATES LLC,,3496813,,2,396477.529,137357.1628
1140 Connecticut Ave for DDOE,Office,"1140 Connecticut Ave, NW",Washington,District of Columbia,DC,20007,,,245932,217549,1966,2013,,,,,,,,,20.84128173,1134 - 1140 CONNECTICUT AV NW,1610032,WRIT 1140 CT LLC,,2945494,,2,396424.7508,137457.0047
1130 Connecticut Avenue DDOE,Office,1130 Connecticut Avenue,Washington,District of Columbia,DC,20036,,,290618,250190,1986,2013,,,,,,,,,9.331707902,1130 CONNECTICUT AV NW,1610039,PENZANCE 1130 PROPERTY OWNER LLC,,3315781,,2,396432.7507,137416.8958
1101 Connecticut Avenue DDOE,Office,1101 Connecticut Avenue,Washington,District of Columbia,DC,20036,,,179563,202878,1976,2013,,,,,,,,,33.3308688,1101 CONNECTICUT AV,1620096,WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY (WMATA),,3315716,,2,396553.4029,137353.27
1133 Connecticut Ave,Office,1133 Connecticut Ave NW,Washington,District of Columbia,DC,20036,,,236563,190958,1989,2013,,61.7,193.6,,,,,1491.2,12.05553054,1133 CONNECTICUT AV NW,1620101,CONNECTICUT / DESALES PARTNERSHIP,,2962687,,2,396513.2454,137457.6643
1001 Connecticut Avenue,Office,"1001 Connecticut Avenue, NW",Washington,District of Columbia,DC,20036,,,171080,154319,1953,2013,,70.4,172.2,,,,,1172.4,19.81479921,1001 CONNECTICUT AV NW,1640003,1001 CONNECTICUT AVENUE LLC,,3354050,,2,396602.5995,137227.1167
818 Connecticut LLC,Office,"818 Connecticut Avenue, NW",Washington,District of Columbia,DC,20006,,,93189,8458,1977,2013,,,,,,,,,,0818 CONNECTICUT AV NW,1650814,818 CONNECTICUT LLC,,3761920,,2,396638.8747,137007.4982
Northumberland Apartments Inc,Multifamily Housing,2039 New Hampshire Ave NW,Washington,District of Columbia,DC,20009,,,104390,104390,1908,2013,,13.1,18.5,13.1,18.6,,,90.1,25.87987355,2039 NEW HAMPSHIRE AV NW,1890060,NORTHUMBERLAND APARTMENTS INC,,3513627,,1,396934.8497,138880.7403
Chastleton Cooperative,Multifamily Housing,"1701 16th Street, NW",Washington,District of Columbia,DC,20009,,,272450,272450,1921,2013,,,,,,,,,,1701 16TH ST NW,1920825,CHASTLETON COOPERATIVE ASSOCIATION INC,,2923735,,2,396896.1604,138352.6592
Windsor House,Multifamily Housing,1444 Rhode Island Ave NW,Washington,District of Columbia,DC,20005,,,139901,139901,1963,2013,,,,,,,,,,1444 - 1448 RHODE ISLAND AV NW Unit: 400,2110041,WINDSOR ASSOCIATES IV LP,,3540424,,2,397087.5232,137777.963
1101 15th Street,Office,"1101 15th ST, NW",Washington,District of Columbia,DC,20005,,,213934,157363,1973,2013,,,,,,,,,,1101 - 1117 15TH ST NW,2140106,1101 FIFTEENTH LLC,,1497433,,2,397037.8759,137360.8969
1400 Eye Street,Office,"1400 I Street, NW",Washington,District of Columbia,DC,20005,,,257532,175760,1982,2013,,,,,,,,,29.39462904,1400 I ST NW,2200064,"ZG 1400 EYE, LLC",,3474408,,2,397193.162,137017.4648
15th and H Street Associates LLP,Multifamily Housing,733 15th Street NW,Washington,District of Columbia,DC,20005,,,230129,230129,1911,2013,,16.5,24.6,16.7,24.8,,,260.4,32.8554854,733 15TH ST,2220022,15TH AND H STREET ASSOCIATES LLP,,3672853,,2,397126.698,136896.0159
W Hotel,Hotel,515 15th ST NW,Washington,District of Columbia,DC,20004,,,216199,225000,1917,2013,,,,,,,,,,1434 F ST NW,2250803,ISTITHMAR HOTELS WASHINGTON LLC,,2539114,,2,397118.9067,136566.1038
The Flats @ Union Row,Multifamily Housing,2125 14th St NW,Washington,District of Columbia,DC,20009,,,187357,187357,2008,2013,,51.9,113.5,52.1,113.8,,,905.3,43.17265968,2125 14TH ST NW,2352851,THE FLATS @ UNION ROW,,3472298,,1,,
Washington Plaza Hotel,Hotel,"10 Thomas Circle, NW",Washington,District of Columbia,DC,20005,,,300357,300357,1963,2013,,,1347.3,,,,,20177.5,62.34647436,10 THOMAS CIR,2450844,WASHINGTON PLAZA HOTEL LLC,,3499934,,2,397316.2674,137599.2059
1310 L Street,Office,1310 L Street NW,Washington,District of Columbia,DC,20006,,,212991,153800,2002,2013,,,,,,,,,12.9603381,1310 L ST NW,2480066,GREENWAY INC,,2308305,,2,397354.5803,137284.5266
717 14th Street,Office,"717 14th Street, NW",Washington,District of Columbia,DC,20005,,,147884,114202,1955,2013,,,,,,,,,,0717 14TH ST NW,2520078,717 14TH STREET LLC,,3857228,,2,397261.5025,136785.7304
2020 Lofts,Multifamily Housing,"2020 12th Street, NW",Washington,District of Columbia,DC,20009,,,144773,178156,2005,2013,,39,77.6,39.1,77.7,,,598.8,35.18601675,2020 12TH ST NW,2732706,2020 LOFTS CONDOMINIUM,,3353093,,1,,
