Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported, Total Source Energy (kBTU) ,Source EUI (kBTU/sf)
#2679 South Bay/Boston,Yes,Retail Store,5 Alllstate Road,2125,132000,70.7,74,,Parking Retail Store,1998,724.4,5.5,9331692,0.56,0.44,,7.6,,703501080,2014 2015 2016,20720088.92,156.9703706
0004 Roslindale,Yes,Supermarket/Grocery Store,950 American Legion Hgwy,2131,38694,245.9,49,,Supermarket/Grocery,2001,760.2,19.6,9515343,0.61,0.39,,62.1,,1807323000,2015 2016,22122220.94,571.7222551
0018 Dorchester,Yes,Supermarket/Grocery Store,545 Freeport Street,2122,61548,194.8,88,,Supermarket/Grocery,2005,952.2,15.5,11987839,0.6,0.4,,103.3,,Not Available,2014 2015 2016,27619981.06,448.7551351
0053 South Boston,Yes,Supermarket/Grocery Store,713 E. Broadway,2127,30982,186.5,87,,Supermarket/Grocery,2005,457.1,14.8,5776977,0.6,0.4,,108.5,,Not Available,2014 2015 2016,13310155.01,429.6092895
0075 Jamaica Plain,Yes,Supermarket/Grocery Store,301 Centre St.,2130,46685,205.2,76,,Supermarket/Grocery,2005,782.9,16.8,9579591,0.66,0.34,,20.7,,Not Available,2016,23272658.38,498.5039815
0089 Allston,Yes,Supermarket/Grocery Store,60 Everett St.,2134,79894,220.1,77,,Supermarket/Grocery,2005,1364.7,17.1,17581736,0.56,0.44,,180.2,,Not Available,2016,39038486.61,488.6285155
01-1-Boston Head Office,Yes,Financial Office,600 Atlantic Avenue,2210,1078903,87.9,83,,Data Center Financial Office Office Parking,1978,12935.3,12,94854311,0.6,0.02,0.38,12.2,,304340000,2014 2015 2016,223951028.3,207.5729035
0412 Roxbury,Yes,Supermarket/Grocery Store,1610 Tremont St,2120,40005,246.8,61,,Supermarket/Grocery,2005,785.1,19.6,9873792,0.61,0.39,,156.5,,Not Available,2014 2015 2016,22955579.02,573.8177483
0413 Hyde Park,Yes,Supermarket/Grocery Store,1025 Truman Hwy,2136,38890,146.8,87,,Supermarket/Grocery,2001,525.2,13.5,5707514,0.89,0.11,,142.3,,1809855010,2015 2016,16609436.49,427.087593
0429 Dorchester,Yes,Supermarket/Grocery Store,1100 Mass Ave,2122,79401,188.5,91,,Supermarket/Grocery,2005,1181.3,14.9,14965253,0.59,0.41,,23.7,,Not Available,2014 2015 2016,34167169.12,430.3115719
045 - Holiday Inn Express Dorchester,Yes,Hotel,69 R. Boston Street,2125,58051,156.1,11,,Hotel,2010,732.3,12.6,9059810,0.64,0.36,,131.5,,703436000,2014 2015 2016,21631202.36,372.6241125
0459 Roxbury,Yes,Supermarket/Grocery Store,460 Blue Hill Ave.,2121,52802,203.3,82,,Supermarket/Grocery,2005,856.4,16.2,10736426,0.61,0.39,,14.6,,Not Available,2016,24961116.81,472.7305179
"06630-Boston, MA (Prudential Center)",Yes,Retail Store,786 Boylston Street,2199,110000,134,39,,Retail Store,2000,1344.6,12.2,14736639,0.82,0,0.18,12.8,,401037100,2014 2015 2016,41127012.12,373.8819284
07508-East Boston,Yes,Supermarket/Grocery Store,246 Border Street,2128,49564,265.2,41,,Supermarket/Grocery,1997,1108,22.4,13145490,0.71,0.29,,14,,1260716,2016,33309357.62,672.0474057
07572-Brighton Mills,Yes,Supermarket/Grocery Store,370 Western Ave,2135,58240,219.8,59,,Supermarket/Grocery,1999,1086,18.6,12801950,0.73,0.27,,19.8,,Not Available,2014 2015 2016,32973982.62,566.174152
07576-Fenway,Yes,Supermarket/Grocery Store,33 Kilarnock Street,2215,28913,413,6,,Supermarket/Grocery,1999,917,31.7,11939855,0.54,0.46,,95.1,,Not Available,2016,26012168.1,899.6703249
07577-West Roxbury,Yes,Supermarket/Grocery Store,75 Spring Street,2132,54846,287.8,37,,Supermarket/Grocery,1999,1251.5,22.8,15783568,0.6,0.4,,14.6,,Not Available,2014 2015 2016,36365340.67,663.0445369
07579-Hyde Park,Yes,Supermarket/Grocery Store,1377 Hyde Park Avenue,2136,53642,274.8,52,,Supermarket/Grocery,1999,1148.9,21.4,14740566,0.57,0.43,,7.6,,Not Available,2014 2016,33038029.46,615.8985395
07587-Morrisey Blvd,Yes,Supermarket/Grocery Store,45 Morrissey Blvd,2124,61555,247.1,37,,Supermarket/Grocery,1999,1290.4,21,15209358,0.73,0.27,,28.1,,Not Available,2014 2015 2016,39174742.37,636.418526
07588-Allston,Yes,Supermarket/Grocery Store,1065 Commonwealth Ave,2215,64485,299.6,27,,Supermarket/Grocery,1999,1632.3,25.3,19318937,0.72,0.28,,16.8,,2100475000,2014 2015 2016,49356020.5,765.3876173
07602-Prudential New,Yes,Supermarket/Grocery Store,53 Huntington Ave,2199,59527,295.1,37,,Supermarket/Grocery,2003,1426.9,24,17566980,0.64,0.36,,0,,401037400,2014 2015 2016,41942920.25,704.6032935
07604-Dorchester Burger,Yes,Supermarket/Grocery Store,4 River Street,2122,44191,289.7,19,,Supermarket/Grocery,2003,1078.7,24.4,12803888,0.71,0.29,,20.9,,Not Available,2016,32443772.82,734.1715014
1 Guest,Yes,Other - Education,1 Guest St,2135,126300,87.1,Not Available,,Other - Education,2007,1064.5,8.4,11002881,1,,,,,Not Available,2014 2015 2016,34549046.34,273.547477
1 Milk,Yes,Office,1 Milk Street,2109,44464,Not Available,Not Available,,Office,1899,Not Available,Not Available,Not Available,,,,6,,304637010,2016,#VALUE!,#VALUE!
1 Palace Rd-collegeUniversity,Yes,College/University,1 Palace Rd,2115,110327,30.7,Not Available,,College/University,1995,327.4,3,3383927,1,,,,,401844000,2014 2015 2016,10625530.78,96.30943269
10 Buick Street,Yes,Residence Hall/Dormitory,10 Buick Street,2215,384971,51.9,84,,Residence Hall/Dormitory,2000,1380.4,3.6,19979592,0.36,0.63,,49.1,,2100401000,2014 2015 2016,35801430.9,92.99773465
10 Coventry Street,Yes,College/University,10 Coventry Street,2115,69739,43.9,Not Available,,College/University,2004,235.4,3.4,3059362,0.55,0.45,,26.5,,Not Available,2014 2015 2016,6729066.719,96.48929177
10 Guest St,Yes,Other - Education,10 Guest St,2135,199600,29.9,Not Available,,Other - Education,2000,576.9,2.9,5963221,1,,,,,Not Available,2014 2015 2016,18724512.68,93.81018379
10 Milk Street,Yes,Office,10 Milk Street,2210,225294,60.1,89,,Fast Food Restaurant Office,1903,1186.3,5.3,13539178,0.7,,0.30,9.8,,303907000,2014 2015 2016,34633217.32,153.7245436
10 PO Square,Yes,Office,10 Post Office Square,2109,405797,46.3,90,,Office,1920,1751.9,4.3,18793122,0.92,0.08,,10.3,,"0303879000, 0303880000,0303878000, 0303878010 ",2014 2015 2016,55868193.08,137.6752245
10 St. James Ave.,Yes,Office,10 St. James Avenue,2116,567714,69,78,,Financial Office Office Other Parking,2001,3791.1,6.7,39186307,1,,,11.3,,501152000,2014 2015 2016,123045004,216.7376601
10 Tremont Street,Yes,Office,10 Tremont Street,2108,38000,38.7,100,,Office,1900,108.2,2.8,1472288,,,,14.3,,Not Available,2016,0,0
10/20 Channel Center,Yes,Office,10 Channel Center Street,2210,248760,60.5,83,,Office,1920,1457,5.9,15059804,1,,,18.2,,0602757030 0602757045,2014 2015 2016,47287784.56,190.0940045
100 Arlington,Yes,Multifamily Housing,100 Arlington Street,2116,203204,67.6,14,,Food Sales Multifamily Housing,1926,1087.5,5.4,13740303,0.53,0.25,0.22,18.5,,500805000,2015 2016,30100881.78,148.1313448
100 Ashford Street,Yes,Other - Stadium,100 Ashford Street,2215,96292,97.7,Not Available,,Other - Stadium,2002,660.8,6.9,9407114,0.39,0.61,,3.6,,Not Available,2014 2015 2016,17545208.69,182.2083734
100 Bay State Road,Yes,Office,100 Bay State Road,2215,123678,177.5,Not Available,,Food Service Office,2012,1623.7,13.1,21958186,0.48,0.52,,44,,Not Available,2014 2015 2016,45084547.7,364.5316685
100 Bay State Road,Yes,Restaurant,100 Bay State Road,2215,109614,27.5,Not Available,,Office Restaurant,2012,291.1,2.7,3009450,1,,,,,Not Available,2014 2015 2016,9449673,86.20863211
100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,2116,843168,20.7,Not Available,,Bank Branch Medical Office Office Other,1969,1645.3,2,17457097,0.94,0.06,0.00,1.2,,401082001,2014 2015 2016,52626164.62,62.414803
100 East Newton Street (635 Albany) G Building,Yes,Medical Office,100 East Newton Street,2118,89406,307.1,1,,Medical Office,1969,2179.5,24.4,27457921,0.43,0,0.57,43.4,,801295000,2014 2015 2016,55854903.31,624.7332763
100 Federal St.,Yes,Office,100 Federal St.,2110,1478145,81.9,81,,Data Center Office Parking,1970,10065.5,6.8,120988965,0.55,,0.45,11.2,,304410000,2014 2015 2016,274281983.7,185.5582393
100 franklin st,Yes,Office,100 franklin st,2110,94438,87.2,60,,Bank Branch Office,1908,698.5,7.4,8239101,0.73,0.27,,11.4,,304666000,2014 2015 2016,21221452.45,224.7130651
100 High Street,Yes,Not Available,100 High Street,2110,Not Available,Not Available,Not Available,,Office Parking,1988,3383,Not Available,34968493,1,,,,,304408000,2014 2016,109801068,#VALUE!
100 Holton St,Yes,Office,100 Holton St,2135,115577,19.4,100,,Office,1975,122,1.1,2240884,0.03,0.97,,7.5,,2200966000,2014 2015 2016,2493431.627,21.5737701
100 Meadow Road LLC,Yes,Non-Refrigerated Warehouse,100-170 Meadow Road ,2136,198836,Not Available,Not Available,,Non-Refrigerated Warehouse,1958,Not Available,Not Available,Not Available,,,,0.2,,Not Available,2016,#VALUE!,#VALUE!
100 N Washington Street,Yes,Office,100 North Washington Street,2114,52973,39,89,,Office Parking,1897,199.7,3.8,2064397,1,,,8,,Not Available,2014 2015 2016,6482206.58,122.368123
100 Summer Street,Yes,Office,100 Summer Street,2110,1164826,78.3,75,,Fast Food Restaurant Office Other Parking,1974,7732.9,6.6,91216783,0.61,,0.39,9.7,,304220000,2014 2015 2016,217406080.6,186.6425377
101 Dale St,Yes,Multifamily Housing,101 Dale St,2119,10532,193.4,Not Available,,Multifamily Housing Other - Education,1900,114.2,10.8,2036618,0.07,0.93,,144.4,,1200641000,2016,2436406.113,231.3336606
101 Huntington Ave,Yes,Office,101 Huntington Ave,2199,585345,75.3,87,,Office Parking,1972,3545.9,6.1,44068989,0.5,,0.49,9.5,,401037101,2014 2015 2016,95100877.83,162.4697876
101 Merrimac Street,Yes,Office,101 Merrimac Street,2114,153905,72.6,75,,Office Parking,1990,1010.9,6.6,11174815,0.86,0.14,,18.6,,Not Available,2014 2015 2016,31819168.23,206.7455133
101 Summer,Yes,Office,101 Summer St.,2110,48905,92.1,50,,Fast Food Restaurant Office,1899,376,7.7,4502210,0.7,0.3,,23,,304577000,2014 2015 2016,11314053.73,231.3475867
101 Tremont,Yes,Office,101 Tremont Street,2108,80344,41.5,Not Available,,Office,1901,263.6,3.3,3331546,0.6,0.4,,30.7,,304717000,2015 2016,7675881.984,95.53771264
1010 Massachusetts Ave,Municipal,Office,1010 Massachusetts Ave,2118,195000,59.9,86,,Other,2000,995.7,5.1,11676350,0.74,0.26,,1.6,,Not Available,2016,30318810.15,155.4810777
10-18 Buswell Street,Yes,Multifamily Housing,10-18 Buswell Street,2215,66456,226.9,1,,Multifamily Housing,1924,834.6,12.6,15081781,0.05,0.95,,73.5,,2100201000,2014 2015 2016,17411916.28,262.0066853
1019 Commonwealth Avenue,Yes,Residence Hall/Dormitory,1019 Commonwealth Avenue,2215,77750,67.9,75,,Residence Hall/Dormitory,1977,384.1,4.9,5281805,0.45,0.55,,31.6,,2100468000,2014 2015 2016,10513432.45,135.2209962
10-24 School Street,Yes,Office,10-24 School Street,2108,115413,94.3,81,,Office Retail Store,1925,900.2,7.8,10887252,0.54,,0.46,12.3,,Not Available,2015 2016,24470187.6,212.0228015
103 CLAYTON STREET,Yes,Office,103 CLAYTON STREET,2122,40696,42.1,97,,Office,1912,123.5,3,1711550,0.44,0.56,,3.5,,1600579000,2016,3371069.077,82.83539112
105 Magazine St,Municipal,Other,105 Magazine St,2119,5150,173.3,Not Available,,Other,2000,49.4,9.6,892596,0.05,0.95,,,,Not Available,2016,1030501.62,200.097402
10-50 Old Colony Ave.,Yes,Office,10-50 Old Colony Ave.,2127,75000,Not Available,Not Available,,Office,1924,Not Available,Not Available,Not Available,,,,4,,600324000,2014 2016,#VALUE!,#VALUE!
105-129 Kingston Street,Yes,Office,2 24 Edinboro Street,2111,75500,74.7,Not Available,,Office Retail Store,1910,433,5.7,5642996,0.34,0,0.66,9.9,,304421000,2014 2015 2016,10493715.36,138.9896074
109 Brookline Ave. - Ste # 602030,Yes,Office,109 BROOKLINE AVE,2215,305362,278.9,4,,Office Parking,1990,7737.7,25.3,85153993,0.87,0.13,,13.9,,2100071000,2014 2015 2016,244247198.1,799.8611423
1098-Jamaica Plain,Yes,Non-Refrigerated Warehouse,3175 Washington Street,2130,71057,35.2,5,,Non-Refrigerated Warehouse,2009,220.6,3.1,2500433,0.8,0.2,,0.3,,1102009000,2014 2015 2016,6806178.626,95.78477315
11 Beacon,Yes,Office,11 Beacon Street,2110,146388,78.9,92,,Office Other - Restaurant/Bar,1911,762.4,5.2,11554137,0.3,0.7,,9.8,,302804000,2014 2015 2016,19376287.75,132.3625417
11 Elkins,Yes,Office,11 Elkins Street,2127,55000,24,99,,Office,1900,123.4,2.2,1319888,0.93,0.07,,4.6,,603405060,2014 2015 2016,3951348.706,71.84270374
110 K Street,Yes,Office,110 K Street,2127,40000,38.1,89,,Office,1900,145,3.6,1525243,0.96,0.04,,4.4,,603405060,2014 2015 2016,4661752.705,116.5438176
110-112 Cummington Street,Yes,College/University,110-112 Cummington Street,2215,48901,6.5,Not Available,,College/University,1923,16.8,0.3,316033,,1,,3.9,,Not Available,2014 2015 2016,331834.965,6.785852334
111 Cummington Street (664-666 Comm. Ave),Yes,College/University,111 Cummington Street (664-666 Comm. Ave),2215,93831,327,Not Available,,College/University,1911,2032.4,21.7,30680665,0.3,0.7,,10.3,,Not Available,2014 2015 2016,51451474.37,548.3419591
111 Huntington Ave,Yes,Office,111 Huntington Ave,2199,1034179,75.5,77,,Office,2001,6806.5,6.6,78114944,0.68,0,0.31,13.9,,401037500,2014 2015 2016,195849787.6,189.3770688
11-19 Deerfield Street,Yes,Office,11-19 Deerfield Street,2215,69435,85.7,88,,Office,1925,377.4,5.4,5948174,0.24,0.76,,10.5,,503757001,2014 2015 2016,9229186.468,132.918362
114 Western Ave,Yes,Office,114 Western Ave,2138,70849,59.6,74,,Office Other Urgent Care/Clinic/Outpatient,1925,396.3,5.6,4225603,0.93,0.07,,7,,2200268000,2014 2015 2016,12650187.7,178.5513938
1140 Boylston Street,Yes,College/University,1140 Boylston Street,2215,66920,103.4,Not Available,,College/University,1920,552.4,8.3,6917306,0.61,0.39,,8.5,,Not Available,2014 2015 2016,16082044.72,240.3174644
115 – West Roxbury,Yes,Supermarket/Grocery Store,1800 Centre St,2481,55929,275.9,71,,Parking Supermarket/Grocery,2002,1293,23.1,15431170,0.7,0.3,,3758.9,,2005752010,2016,38778530.21,693.3528261
115 Broad Street,Yes,Office,115 Broad Street,2110,56025,48.9,79,,Office,1900,264.7,4.7,2738580,1,0,,7,,Not Available,2016,8599141.2,153.4875716
116 Huntington,Yes,Office,116 Huntington Ave,2116,287141,59.8,83,,Office Parking Restaurant,1990,1662.4,5.8,17183562,1,,,11.7,,401013010,2015 2016,53956384.68,187.9090227
119,Yes,Office,119 Braintree Street,2134,140974,36.4,99,,Office Parking,1908,402.2,2.9,5137152,0.58,0.42,,5.2,,2201867000,2016,11621265.25,82.43552183
"12 Commonwealth Avenue, Boston, MA",Yes,Multifamily Housing,12 Commonwealth Avenue,2116,42860,86.6,84,,Multifamily Housing,1920,286.9,6.7,3710840,0.14,,,35.5,,Not Available,2015 2016,1631285.264,38.06078544
120 Ashford Street,Yes,Distribution Center,120 Ashford Street,2215,65198,155.2,4,,Distribution Center Office Parking,1958,660.3,10.1,10119448,0.28,0.72,,5.6,,2100414000,2014 2015 2016,16547322.02,253.8010679
120 Herald Street,Yes,Other,120 Herald Street,2116,115680,1.9,Not Available,,Other Parking,1967,20.8,0.2,214858,1,,,,,500515000,2014 2015 2016,674654.12,5.832072268
1230 Washington St,Yes,Manufacturing/Industrial Plant,1234 Washington St,2118,60990,34.1,Not Available,,Manufacturing/Industrial,1926,122.8,2,2080563,0.14,0.86,,8.1,,306443000,2014 2015 2016,2793363.884,45.80035881
1249 Boylston Street,Yes,Office,1249 Boylston Street,2115,37495,92,Not Available,,Office Retail Store,1950,293.2,7.8,3448525,0.73,0.27,,4.5,,Not Available,2016,8882365.843,236.8946751
125 Magazine St,Municipal,Office,125 Magazine St,2119,8100,92.5,63,,Office,2000,47.1,5.8,749253,0.22,0.78,,,,Not Available,2016,1131221.877,139.6570219
