Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),PARCEL_ID,Years Reported,Total Source Energy (kBTU),Source EUI (kBTU/sf),2030 Target by Type,Distance to 2030 Target %,Distance to 2030 Target val,Specific Property Type,,,
#2679 South Bay/Boston,Yes,Mercentile,5 Alllstate Road,02125,132000,70.7,74,,Parking Retail Store,1998,724.4,5.5,9331692,0.56,0.44,,7.6,,0703501080,2014 2015 2016,20720088.92,156.9703706,111.2,0.291586,45.770371,Retail Store,,,
0004 Roslindale,Yes,Service,950 American Legion Hgwy,02131,38694,245.9,49,,Supermarket/Grocery,2001,760.2,19.6,9515343,0.61,0.39,,62.1,,1807323000,2015 2016,22122220.94,571.7222551,101.6,0.822291,470.122255,Supermarket/Grocery Store,,,
0018 Dorchester,Yes,Service,545 Freeport Street,02122,61548,194.8,88,,Supermarket/Grocery,2005,952.2,15.5,11987839,0.6,0.4,,103.3,,Not Available,2014 2015 2016,27619981.06,448.7551351,25.4,0.943399,423.355135,Supermarket/Grocery Store,,,
0053 South Boston,Yes,Service,713 E. Broadway,02127,30982,186.5,87,,Supermarket/Grocery,2005,457.1,14.8,5776977,0.6,0.4,,108.5,,Not Available,2014 2015 2016,13310155.01,429.6092895,25.4,0.940877,404.20929,Supermarket/Grocery Store,,,
0075 Jamaica Plain,Yes,Service,301 Centre St.,02130,46685,205.2,76,,Supermarket/Grocery,2005,782.9,16.8,9579591,0.66,0.34,,20.7,,Not Available,2016,23272658.38,498.5039815,25.4,0.949048,473.103982,Supermarket/Grocery Store,,,
0089 Allston,Yes,Service,60 Everett St.,02134,79894,220.1,77,,Supermarket/Grocery,2005,1364.7,17.1,17581736,0.56,0.44,,180.2,,Not Available,2016,39038486.61,488.6285155,25.4,0.948018,463.228516,Supermarket/Grocery Store,,,
01-1-Boston Head Office,Yes,Office,600 Atlantic Avenue,02210,1078903,87.9,83,,Data Center Financial Office Office Parking,1978,12935.3,12,94854311,0.6,0.02,0.38,12.2,,0304340000,2014 2015 2016,223951028.3,207.5729035,101.6,0.510533,105.972903,Financial Office,,,
0412 Roxbury,Yes,Service,1610 Tremont St,02120,40005,246.8,61,,Supermarket/Grocery,2005,785.1,19.6,9873792,0.61,0.39,,156.5,,Not Available,2014 2015 2016,22955579.02,573.8177483,25.4,0.955735,548.417748,Supermarket/Grocery Store,,,
0413 Hyde Park,Yes,Service,1025 Truman Hwy,02136,38890,146.8,87,,Supermarket/Grocery,2001,525.2,13.5,5707514,0.89,0.11,,142.3,,1809855010,2015 2016,16609436.49,427.087593,101.6,0.76211,325.487593,Supermarket/Grocery Store,,,
0429 Dorchester,Yes,Service,1100 Mass Ave,02122,79401,188.5,91,,Supermarket/Grocery,2005,1181.3,14.9,14965253,0.59,0.41,,23.7,,Not Available,2014 2015 2016,34167169.12,430.3115719,25.4,0.940973,404.911572,Supermarket/Grocery Store,,,
045 - Holiday Inn Express Dorchester,Yes,Residential,69 R. Boston Street,02125,58051,156.1,11,,Hotel,2010,732.3,12.6,9059810,0.64,0.36,,131.5,,0703436000,2014 2015 2016,21631202.36,372.6241125,25.4,0.931835,347.224113,Hotel,,,
0459 Roxbury,Yes,Service,460 Blue Hill Ave.,02121,52802,203.3,82,,Supermarket/Grocery,2005,856.4,16.2,10736426,0.61,0.39,,14.6,,Not Available,2016,24961116.81,472.7305179,25.4,0.94627,447.330518,Supermarket/Grocery Store,,,
06630-Boston MA (Prudential Center),Yes,Mercentile,786 Boylston Street,02199,110000,134,39,,Retail Store,2000,1344.6,12.2,14736639,0.82,0,0.18,12.8,,0401037100,2014 2015 2016,41127012.12,373.8819284,,0,447.330518,Retail Store,,,
07508-East Boston,Yes,Service,246 Border Street,02128,49564,265.2,41,,Supermarket/Grocery,1997,1108,22.4,13145490,0.71,0.29,,14,,1260716,2016,33309357.62,672.0474057,101.6,0.84882,570.447406,Supermarket/Grocery Store,,,
