Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),Tax Parcel,Years Reported
#2679 South Bay/Boston,Yes,Retail Store,5 Alllstate Road,02125,132000,70.7,74,,Parking Retail Store,1998,724.4,5.5,9331692,56%,44%,,7.6,,0703501080,"2014, 2015, 2016"
0004 Roslindale,Yes,Supermarket/Grocery Store,950 American Legion Hgwy,02131,38694,245.9,49,,Supermarket/Grocery,2001,760.2,19.6,9515343,61%,39%,,62.1,,1807323000,"2015, 2016"
0018 Dorchester,Yes,Supermarket/Grocery Store,545 Freeport Street,02122,61548,194.8,88,,Supermarket/Grocery,2005,952.2,15.5,11987839,60%,40%,,103.3,,Not Available,"2014, 2015, 2016"
0053 South Boston,Yes,Supermarket/Grocery Store,713 E. Broadway,02127,30982,186.5,87,,Supermarket/Grocery,2005,457.1,14.8,5776977,60%,40%,,108.5,,Not Available,"2014, 2015, 2016"
0075 Jamaica Plain,Yes,Supermarket/Grocery Store,301 Centre St.,02130,46685,205.2,76,,Supermarket/Grocery,2005,782.9,16.8,9579591,66%,34%,,20.7,,Not Available,2016
0089 Allston,Yes,Supermarket/Grocery Store,60 Everett St.,02134,79894,220.1,77,,Supermarket/Grocery,2005,1364.7,17.1,17581736,56%,44%,,180.2,,Not Available,2016
01-1-Boston Head Office,Yes,Financial Office,600 Atlantic Avenue,02210,1078903,87.9,83,,Data Center Financial Office Office Parking,1978,12935.3,12.0,94854311,60%,2%,38%,12.2,,0304340000,"2014, 2015, 2016"
0412 Roxbury,Yes,Supermarket/Grocery Store,1610 Tremont St,02120,40005,246.8,61,,Supermarket/Grocery,2005,785.1,19.6,9873792,61%,39%,,156.5,,Not Available,"2014, 2015, 2016"
0413 Hyde Park,Yes,Supermarket/Grocery Store,1025 Truman Hwy,02136,38890,146.8,87,,Supermarket/Grocery,2001,525.2,13.5,5707514,89%,11%,,142.3,,1809855010,"2015, 2016"
0429 Dorchester,Yes,Supermarket/Grocery Store,1100 Mass Ave,02122,79401,188.5,91,,Supermarket/Grocery,2005,1181.3,14.9,14965253,59%,41%,,23.7,,Not Available,"2014, 2015, 2016"
045 - Holiday Inn Express Dorchester,Yes,Hotel,69 R. Boston Street,02125,58051,156.1,11,,Hotel,2010,732.3,12.6,9059810,64%,36%,,131.5,,0703436000,"2014, 2015, 2016"
0459 Roxbury,Yes,Supermarket/Grocery Store,460 Blue Hill Ave.,02121,52802,203.3,82,,Supermarket/Grocery,2005,856.4,16.2,10736426,61%,39%,,14.6,,Not Available,2016
"06630-Boston, MA (Prudential Center)",Yes,Retail Store,786 Boylston Street,02199,110000,134,39,,Retail Store,2000,1344.6,12.2,14736639,82%,0%,18%,12.8,,0401037100,"2014, 2015, 2016"
07508-East Boston,Yes,Supermarket/Grocery Store,246 Border Street,02128,49564,265.2,41,,Supermarket/Grocery,1997,1108.0,22.4,13145490,71%,29%,,14.0,,1260716,2016
07572-Brighton Mills,Yes,Supermarket/Grocery Store,370 Western Ave,02135,58240,219.8,59,,Supermarket/Grocery,1999,1086.0,18.6,12801950,73%,27%,,19.8,,Not Available,"2014, 2015, 2016"
07576-Fenway,Yes,Supermarket/Grocery Store,33 Kilarnock Street,02215,28913,413,6,,Supermarket/Grocery,1999,917.0,31.7,11939855,54%,46%,,95.1,,Not Available,2016
07577-West Roxbury,Yes,Supermarket/Grocery Store,75 Spring Street,02132,54846,287.8,37,,Supermarket/Grocery,1999,1251.5,22.8,15783568,60%,40%,,14.6,,Not Available,"2014, 2015, 2016"
07579-Hyde Park,Yes,Supermarket/Grocery Store,1377 Hyde Park Avenue,02136,53642,274.8,52,,Supermarket/Grocery,1999,1148.9,21.4,14740566,57%,43%,,7.6,,Not Available,"2014, 2016"
07587-Morrisey Blvd,Yes,Supermarket/Grocery Store,45 Morrissey Blvd,02124,61555,247.1,37,,Supermarket/Grocery,1999,1290.4,21.0,15209358,73%,27%,,28.1,,Not Available,"2014, 2015, 2016"
07588-Allston,Yes,Supermarket/Grocery Store,1065 Commonwealth Ave,02215,64485,299.6,27,,Supermarket/Grocery,1999,1632.3,25.3,19318937,72%,28%,,16.8,,2100475000,"2014, 2015, 2016"
07602-Prudential New,Yes,Supermarket/Grocery Store,53 Huntington Ave,02199,59527,295.1,37,,Supermarket/Grocery,2003,1426.9,24.0,17566980,64%,36%,,0.0,,0401037400,"2014, 2015, 2016"
07604-Dorchester Burger,Yes,Supermarket/Grocery Store,4 River Street,02122,44191,289.7,19,,Supermarket/Grocery,2003,1078.7,24.4,12803888,71%,29%,,20.9,,Not Available,2016
1 Guest,Yes,Other - Education,1 Guest St,02135,126300,87.1,Not Available,,Other - Education,2007,1064.5,8.4,11002881,100%,,,,,Not Available,"2014, 2015, 2016"
1 Milk,Yes,Office,1 Milk Street,02109,44464,Not Available,Not Available,,Office,1899,Not Available,Not Available,Not Available,,,,6.0,,0304637010,2016
1 Palace Rd-collegeUniversity,Yes,College/University,1 Palace Rd,02115,110327,30.7,Not Available,,College/University,1995,327.4,3.0,3383927,100%,,,,,0401844000,"2014, 2015, 2016"
10 Buick Street,Yes,Residence Hall/Dormitory,10 Buick Street,02215,384971,51.9,84,,Residence Hall/Dormitory,2000,1380.4,3.6,19979592,36%,63%,,49.1,,2100401000,"2014, 2015, 2016"
10 Coventry Street,Yes,College/University,10 Coventry Street,02115,69739,43.9,Not Available,,College/University,2004,235.4,3.4,3059362,55%,45%,,26.5,,Not Available,"2014, 2015, 2016"
10 Guest St,Yes,Other - Education,10 Guest St,02135,199600,29.9,Not Available,,Other - Education,2000,576.9,2.9,5963221,100%,,,,,Not Available,"2014, 2015, 2016"
10 Milk Street,Yes,Office,10 Milk Street,02210,225294,60.1,89,,Fast Food Restaurant Office,1903,1186.3,5.3,13539178,70%,,30%,9.8,,0303907000,"2014, 2015, 2016"
10 PO Square,Yes,Office,10 Post Office Square,02109,405797,46.3,90,,Office,1920,1751.9,4.3,18793122,92%,8%,,10.3,,"0303879000, 0303880000,0303878000, 0303878010 ","2014, 2015, 2016"
10 St. James Ave.,Yes,Office,10 St. James Avenue,02116,567714,69,78,,Financial Office Office Other Parking,2001,3791.1,6.7,39186307,100%,,,11.3,,0501152000,"2014, 2015, 2016"
10 Tremont Street,Yes,Office,10 Tremont Street,02108,38000,38.7,100,,Office,1900,108.2,2.8,1472288,,,,14.3,,Not Available,2016
