Building Energy and Water Use Metrics,,,,,,,,,,,,,,,,,electricity,3.1400,,,,,
City of Boston Environment Department - Building Energy Reporting and Disclosure Ordinance,,,,,,,,,,,,,,,,,natural gas,1.0500,,,,,
"Energy and water use metrics for large buildings in calendar year 2015, as submitted by buildings for Boston's energy reporting ordinance. For more information, please visit berdo.greenovateboston.org. Field name definitions are on the second tab.",,,,,,,,,,,,,,,,,electricity solar,1.0000,,,,,
"September 28, 2016",,,,,,,,,,,,,,,,,steam,1.2000,,,,,
,,,,,,,,,,,,,,,,,source:,https://portfoliomanager.zendesk.com/hc/en-us/articles/216670148-What-are-the-Site-to-Source-Conversion-Factors-,,,,,
Property Name,Reported,Property Type,Address,ZIP,Gross Area (sq ft),Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built,GHG Emissions (MTCO2e),GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf),Onsite Solar (kWh),User Submitted Info,User Submitted Link,Tax Parcel,Years Reported,Source Energy
#2679 South Bay/Boston,Yes,Retail Store,5 Alllstate Road,02125," 132,000 ",70.7,74,,"Parking, Retail Store",1998,724.4,5.5," 9,331,692 ",56%,44%,,7.6,,,,0703501080,"2014, 2015, 2016",20720088.0286
0004 Roslindale,Yes,Supermarket/Grocery Store,950 American Legion Hgwy,02131," 38,694 ",245.9,49,,Supermarket/Grocery,2001,760.2,19.6," 9,515,343 ",61%,39%,,62.1,,,,1807323000,"2015, 2016",22122221.1732
0018 Dorchester,Yes,Supermarket/Grocery Store,545 Freeport Street,02122," 61,548 ",194.8,88,,Supermarket/Grocery,2005,952.2,15.5," 11,987,839 ",60%,40%,,103.3,,,,Not Available,"2014, 2015, 2016",27619980.1344
0053 South Boston,Yes,Supermarket/Grocery Store,713 E. Broadway,02127," 30,982 ",186.5,87,,Supermarket/Grocery,2005,457.1,14.8," 5,776,977 ",60%,40%,,108.5,,,,Not Available,"2014, 2015, 2016",13310155.9296
0075 Jamaica Plain,Yes,Supermarket/Grocery Store,301 Centre St.,02130," 46,685 ",205.2,76,,Supermarket/Grocery,2005,782.9,16.8," 9,579,591 ",66%,34%,,20.7,,,,Not Available,2016,23272659.3472
0089 Allston,Yes,Supermarket/Grocery Store,60 Everett St.,02134," 79,894 ",220.1,77,,Supermarket/Grocery,2005,1364.7,17.1," 17,581,736 ",56%,44%,,180.2,,,,Not Available,2016,39038486.6144
01-1-Boston Head Office,Yes,Financial Office,600 Atlantic Avenue,02210," 1,078,903 ",87.9,83,"2015, 2014, 2013, 2012, 2011, 2010, 2008","Data Center, Financial Office, Office, Parking",1978,12935.3,12.0," 94,854,311 ",60%,2%,38%,12.2,,,,0304340000,"2014, 2015, 2016",223951028.7432
0412 Roxbury,Yes,Supermarket/Grocery Store,1610 Tremont St,02120," 40,005 ",246.8,61,,Supermarket/Grocery,2005,785.1,19.6," 9,873,792 ",61%,39%,,156.5,,,,Not Available,"2014, 2015, 2016",22955579.2533
0413 Hyde Park,Yes,Supermarket/Grocery Store,1025 Truman Hwy,02136," 38,890 ",146.8,87,,Supermarket/Grocery,2001,525.2,13.5," 5,707,514 ",89%,11%,,142.3,,,,1809855010,"2015, 2016",16609436.7824
0429 Dorchester,Yes,Supermarket/Grocery Store,1100 Mass Ave,02122," 79,401 ",188.5,91,,Supermarket/Grocery,2005,1181.3,14.9," 14,965,253 ",59%,41%,,23.7,,,,Not Available,"2014, 2015, 2016",34167169.1243
045 - Holiday Inn Express Dorchester,Yes,Hotel,69 R. Boston Street,02125," 58,051 ",156.1,11,,Hotel,2010,732.3,12.6," 9,059,810 ",64%,36%,,131.5,,,,0703436000,"2014, 2015, 2016",21631201.6397
0459 Roxbury,Yes,Supermarket/Grocery Store,460 Blue Hill Ave.,02121," 52,802 ",203.3,82,,Supermarket/Grocery,2005,856.4,16.2," 10,736,426 ",61%,39%,,14.6,,,,Not Available,2016,24961116.3424
"06630-Boston, MA (Prudential Center)",Yes,Retail Store,786 Boylston Street,02199," 110,000 ",134,39,,Retail Store,2000,1344.6,12.2," 14,736,639 ",82%,0%,18%,12.8,,This site is part of a larger parcel,,0401037100,"2014, 2015, 2016",41127011.5630
07508-East Boston,Yes,Supermarket/Grocery Store,246 Border Street,02128,49564,265.2,41,,Supermarket/Grocery,1997,1108.0,22.4,13145490.2,71%,29%,,14.0,,,,1260716,2016,33309357.6178
07572-Brighton Mills,Yes,Supermarket/Grocery Store,370 Western Ave,02135," 58,240 ",219.8,59,,Supermarket/Grocery,1999,1086.0,18.6," 12,801,950 ",73%,27%,,19.8,,,,Not Available,"2014, 2015, 2016",32973983.1301
07576-Fenway,Yes,Supermarket/Grocery Store,33 Kilarnock Street,02215," 28,913 ",413,6,,Supermarket/Grocery,1999,917.0,31.7," 11,939,855 ",54%,46%,,95.1,,,,Not Available,2016,26012167.0137
07577-West Roxbury,Yes,Supermarket/Grocery Store,75 Spring Street,02132," 54,846 ",287.8,37,,Supermarket/Grocery,1999,1251.5,22.8," 15,783,568 ",60%,40%,,14.6,,,,Not Available,"2014, 2015, 2016",36365339.5200
07579-Hyde Park,Yes,Supermarket/Grocery Store,1377 Hyde Park Avenue,02136,53642,274.8,52,,Supermarket/Grocery,1999,1148.9,21.4,14740565.5,57%,43%,,7.6,,,,Not Available,"2014, 2016",33038029.4552
07587-Morrisey Blvd,Yes,Supermarket/Grocery Store,45 Morrissey Blvd,02124,61555,247.1,37,,Supermarket/Grocery,1999,1290.4,21.0,15209357.6,73%,27%,,28.1,,,,Not Available,"2014, 2015, 2016",39174742.3703
07588-Allston,Yes,Supermarket/Grocery Store,1065 Commonwealth Ave,02215,64485,299.6,27,,Supermarket/Grocery,1999,1632.3,25.3,19318937.1,72%,28%,,16.8,,,,2100475000,"2014, 2015, 2016",49356020.5031
07602-Prudential New,Yes,Supermarket/Grocery Store,53 Huntington Ave,02199,59527,295.1,37,,Supermarket/Grocery,2003,1426.9,24.0,17566979.5,64%,36%,,0.0,,,,0401037400,"2014, 2015, 2016",41942920.2542
07604-Dorchester Burger,Yes,Supermarket/Grocery Store,4 River Street,02122,44191,289.7,19,,Supermarket/Grocery,2003,1078.7,24.4,12803888.4,71%,29%,,20.9,,,,Not Available,2016,32443772.8168
1 Guest,Yes,Other - Education,1 Guest St,02135,126300,87.1,Not Available,,Other - Education,2007,1064.5,8.4,11002881,100%,,,,,,,Not Available,"2014, 2015, 2016",34549046.3400
1 Milk,Yes,Office,1 Milk Street,02109," 44,464 ",Not Available,Not Available,,Office,1899,Not Available,Not Available, Not Available ,,,,6.0,,,,0304637010,2016,#VALUE!
1 Palace Rd-collegeUniversity,Yes,College/University,1 Palace Rd,02115," 110,327 ",30.7,Not Available,,College/University,1995,327.4,3.0," 3,383,927 ",100%,,,,,,,0401844000,"2014, 2015, 2016",10625532.0360
10 Buick Street,Yes,Residence Hall/Dormitory,10 Buick Street,02215,384971,51.9,84,,Residence Hall/Dormitory,2000,1380.4,3.6,19979592,36%,63%,,49.1,,,,2100401000,"2014, 2015, 2016",35801430.9048
10 Coventry Street,Yes,College/University,10 Coventry Street,02115," 69,739 ",43.9,Not Available,,College/University,2004,235.4,3.4," 3,059,362 ",55%,45%,,26.5,,,,Not Available,"2014, 2015, 2016",6729066.4991
10 Guest St,Yes,Other - Education,10 Guest St,02135,199600,29.9,Not Available,,Other - Education,2000,576.9,2.9,5963220.6,100%,,,,,,,Not Available,"2014, 2015, 2016",18724512.6840
10 Milk Street,Yes,Office,10 Milk Street,02210," 225,294 ",60.1,89,,"Fast Food Restaurant, Office",1903,1186.3,5.3," 13,539,178 ",70%,,30%,9.8,,,,0303907000,"2014, 2015, 2016",34633216.5566
10 PO Square,Yes,Office,10 Post Office Square,02109," 405,797 ",46.3,90,,Office,1920,1751.9,4.3," 18,793,122 ",92%,8%,,10.3,,,,"0303879000, 0303880000,0303878000, 0303878010 ","2014, 2015, 2016",55868193.6762
10 St. James Ave.,Yes,Office,10 St. James Avenue,02116," 567,714 ",69,78,"2011, 2009, 2008, 2007","Financial Office, Office, Other, Parking",2001,3791.1,6.7," 39,186,307 ",100%,,,11.3,,,,0501152000,"2014, 2015, 2016",123045005.2360
10 Tremont Street,Yes,Office,10 Tremont Street,02108," 38,000 ",38.7,100,,Office,1900,108.2,2.8," 1,472,288 ",,,,14.3,,,,Not Available,2016,0.0000
10/20 Channel Center,Yes,Office,10 Channel Center Street,02210,248760,60.5,83,,Office,1920,1457.0,5.9,15059804,100%,,,18.2,,,,0602757030 0602757045,"2014, 2015, 2016",47287784.5600
100 Arlington,Yes,Multifamily Housing,100 Arlington Street,02116," 203,204 ",67.6,14,,"Food Sales, Multifamily Housing",1926,1087.5,5.4," 13,740,303 ",53%,25%,22%,18.5,,Parcel ID: 0500805000,,0500805000,"2015, 2016",30100881.1249
100 Ashford Street,Yes,Other - Stadium,100 Ashford Street,02215,96292,97.7,Not Available,,Other - Stadium,2002,660.8,6.9,9407114.2,39%,61%,,3.6,,,,Not Available,"2014, 2015, 2016",17545208.6944
100 Bay State Road,Yes,Office,100 Bay State Road,02215,123678,177.5,Not Available,,"Food Service, Office",2012,1623.7,13.1,21958186.1,48%,52%,,44.0,,,,Not Available,"2014, 2015, 2016",45084547.7005
100 Bay State Road,Yes,Restaurant,100 Bay State Road,02215," 109,614 ",27.5,Not Available,,"Office, Restaurant",2012,291.1,2.7,"3,009,450.0",100%,,,,,LEED Project Number: 1000006473,,Not Available,"2014, 2015, 2016",9449673.0000
100 Clarendon Street Garage,Yes,Other,100 Clarendon Street,02116," 843,168 ",20.7,Not Available,,"Bank Branch, Medical Office, Office, Other",1969,1645.3,2.0," 17,457,097 ",94%,6%,0%,1.2,,"This entire property is a garage, with the exception of two retail tenants on Dartmouth Street (Eastern Bank and Harvard Vanguard Medical Associates). The garage office is staffed 24x7 and includes a small office for Avis Rental Car.",,0401082001,"2014, 2015, 2016",52626164.3147
100 East Newton Street (635 Albany) G Building,Yes,Medical Office,100 East Newton Street,02118,89406,307.1,1,,Medical Office,1969,2179.5,24.4,27457921.2,43%,0%,57%,43.4,,,,0801295000,"2014, 2015, 2016",55854903.3050
100 Federal St.,Yes,Office,100 Federal St.,02110," 1,478,145 ",81.9,81,"2015, 2013, 2009","Data Center, Office, Parking",1970,10065.5,6.8," 120,988,965 ",55%,,45%,11.2,,,,0304410000,"2014, 2015, 2016",274281983.8817
100 franklin st,Yes,Office,100 franklin st,02110," 94,438 ",87.2,60,,"Bank Branch, Office",1908,698.5,7.4," 8,239,101 ",73%,27%,,11.4,,,,0304666000,"2014, 2015, 2016",21221451.4154
100 High Street,Yes,Not Available,100 High Street,02110, Not Available ,Not Available,Not Available,"2014, 2012, 2011, 2010","Office, Parking",1988,3383.0,Not Available," 34,968,493 ",100%,,,,,,,0304408000,"2014, 2016",109801069.2760
100 Holton St,Yes,Office,100 Holton St,02135," 115,577 ",19.4,100,,Office,1975,122.0,1.1," 2,240,884 ",3%,97%,,7.5,,,,2200966000,"2014, 2015, 2016",2493431.8493
